,Texto,Polaridad
6725,cambios en el impuesto de sociedades xurlx,NONE
6726,carta con lupa lo mashh #noesmenúparaviejos xurlx,NEU
6727,se va a reducir un xnumx% las subvenciones a los partidos políticos,NONE
6728,estos son los twitters oficiales de los #numerosuno síguelos xurlx,NONE
6729,comenzamos la junta directiva del @ppmalaga @eliasbendodo @margadcm @francissalado xurlx,NONE
6730,un gobierno de izdas bajo los impuestos a las grandes empresas y un gobierno de dchas se los vuelve a subir es este el mundo al revés,NEU
6731,xurlx vía @gfvara,NONE
6732,@armando_ bonito retablo xurlx,P
6733,@eliasbendodo ahora a seguir trabajando con humildad esfuerzo y responsabilidad,P+
6734,voy a verme ahora con la federación de sociedades musicales de la comunidad valenciana,NONE
6735,xnumx campañas en xnumx año @eliasbendodo @margadcm @francissalado ;-)) gracias ;-)) @ppmalaga xurlx,P+
6736,xnumx agentes policía nacional salvan a xnumx niños atrapados en incendio en linares (jaén) los vecinos avisaron al xnumx por los gritos vía policía,P
6737,se que hay unís cuantos felices con la amnistía pocos los felices de siempre los q nunca pierden y luego van de buenos x el mundo penoso,N
6738,la justicia avala la prohibición de la delegada del gobierno de madrid @ccifuentes de prohibir la marcha atea el jueves santo,NEU
6739,españa en coma provocado y asturias en la uci sin fondos mineros ni infraestructuras el supuesto de rajoy y sus consecuencias,N
6740,#canariosaislados el tajo en xnumx millones de € de la subvención al transporte de residentes enciende canarias baleares ceuta y melilla,N
6741,xurlx para el concierto de mañana en culiacán fin de gira en méxico,P
6742,hoy tenemos el primer día off real de la gira lo pasaré con todo el equipo músicos y técnicos,N
6743,@mary_gallego_ @david_busta yo te sigo desde el primer dia y seguire haciendolo hasta que me muera pk eres la mejor vozolee gracias,P+
6744,@policebluetour buenas noches a tod@s :-) #ff a los más de xnumx fans de @david_bustame uno,P+
6745,rt @hermanntertsch primera condición para que funcione este chanchullo q es siempre la amnistía fiscal es q no nos enteremos ni tú ni yo,N+
6746,en casa xurlx,NONE
6747,el miedo la resignación las manipulaciones del discurso único datos y testimonios sobre el #malestar en @lasextacolumna,N+
6748,@carmechaparro a mí me da bien,P
6749,rt @chiquicano me apetecen pipas peladas,NONE
6750,olee rt @trendsespana #lasextacolumna es ahora una tendencia en spain xurlx #malestar,P+
6751,operación blanqueo para el dinero negro y cita con la protagonista del #xnumxm para the washington post xurlx#portadaepc,P
6752,menuda palma q tiene juan iranzo xurlx,N
6753,#ff muy especial para @bribonxnumx imprescindible comentarios políticos inteligentes como no puede ser de otra manera viniendo de él,P+
6754,así es ahí estaremos tocando en vivo con la banda@gpaz_ qué alegría mi @juanes que anuncian tu presentación premios billboard :d,P+
6755,ahi teneis un video guapo abrazos y buenas noches amigos xurlx,P+
6756,bdías hoy ha tocado madrugar mi carta de mañana será provocadora espero que os guste qué os parece el primer presupuesto de rajoy,NEU
6757,compartido pero dedicado a @sarasolomando ves ya vuelve a salir otra vez #sarainformanos xurlx,P
6758,aunque sea tarde mi reconocimiento a la gran profesionalidad del siempre xnumx de españa raúl un caballero que manera d acabar el partido,P+
6759,hoy pleno en @malaga @ ayuntamento malaga xurlx,NONE
6760,esta noche en art deco ponferrada chicos xurlx,NONE
6761,se puede discrepar pero sólidowashington monthly - we can live with a nuclear iran xurlx,NEU
6762,@noecrespoxnumx @david_busta un saludo porfa a los que estamos ahora en los corrales de buelna en la marcha solidaria contra el cancerabrazo,P+
6763,los vuelos en los aeropuertos españoles han descendido un xnumx% respecto a la ss del año pasado se nota la crisis,N+
6764,@mjguemes disfruta que te lo mereces mucho embarcando ;),P+
6765,se repite nuestra imagen españa=descontrol=desorden spain announces extraordinary €xnumxbn budget cuts xurlx vía @guardian,N
6766,hemos aprobado el informe del coordinador para transformar la oposición al hachazo presupuestario en debate público y movilización social,P
6767,toca derby lo tenemos todo a favor para hacer morder el polvo al #efese #fccartagena en la nueva condomina xnumx-xnumx,P
6768,así es valledupar no saben las ganas que tengo de acompañarles será un honor para mi regresar al festival,P+
6769,impresionante incendio en las fraguas do eume uno de los lugares más bellos de galicia os lo contaremos a las xnumxh en @informativostxnumx,N+
6770,hoy xnumx de marzo la hora del planeta apaga todas las luces y aparatos eléctricos de xnumx a xnumxh #horadelplaneta,NONE
6771,entrando en galicia por os ancares huele a humo hay mas incendios que el de as #fragasdoeume aunque este nos duele en el corazón,N+
6772,consolida la empresa supera objetivos bate a la competencia reconocimiento ninguneo y miseria para administrar cómo no va a irse sg,NEU
6773,la cúpula de la oficina nacional de investigación del fraude fue cesada tendrá algo que ver con la amnistía fiscal de montoro,N
6774,almuerzo xnumx esparrago je je je xurlx,NONE
6775,ghesta los técnicos d hacienda calcula entre un xnumx y xnumx% el sobrecoste d lotería premiada para blanquear dinero os suena #amnistíafiscal,N+
6776,k alguien le lave la boca a ese k esta junto al micrófono no para d insultar al madrid pena d hombre,N+
6777,estoy en un sitio en el que no puedo ver el partido veo que el madrid va ganando contadme por favor lo esencial es clave ganar hoy,P+
6778,top secret @crespo_ignacio @pedroj_ramirez a mí lo que me gustaría saber es dónde estás curiosidad periodística,NONE
6779,#viacrucisvalle xurlx,NONE
6780,rajoy podría haber hecho lo mismo pero con un gravamen del xnumx por ciento y tendría mi apoyo si además lo enviara al fiscal,NEU
6781,traslado de la sentencia para mi la talla de cristo mas bonita de #malaga #icofrade xurlx,P+
6782,naturaleza #hipstamatic #johns #blanko xurlx,NONE
6783,impresionante cristiano impresionante,P+
6784,se me ha ido el santo al cielo el baño y la cena de la niña hasta luego ),NONE
6785,con #lahoradelplaneta xurlx,NONE
6786,asistimos a una involución democrática laboral social y ahora fiscal el pp está tensando demasiado la cuerda contra demasiadas personas,N+
6787,@itxudiaz o bueno según se miremuy cierto,NONE
6788,en xnumx segundos lo q otros tardan xnumx mes rt @elmundo amancio ortega ha ganado xnumx euros cada segundo esta semana xurlx,NEU
6789,estirando un poco después del partido tan exigente de hoy partidazo ahora solo pensar en el partido del martes xurlx,P+
6790,no olvideis que todos los dias pongo videos en mi facebook (en mi bio) de los musicos que estan participando en xurlx,NONE
6791,saluditos a mi perù bello un abrazo se les quiere rt @marlonspidey @alejandrosanz saludos desde perú maestro :),P+
6792,gracias a toda la gente que ha venido a noovo,P+
6793,vale lo reconozco odio madrugar xurlx,N
6794,esto le gustará especialmente a mi @maximhuerta xurlx buen domingo,P+
6795,los sindicatos del siglo xxi el epílogo de hoy en #eperiódicoxurlx,NONE
6796,oh rt @riccartes me inpira mucho para hacer una pequeña historia ilustradamira mi web a ver si te gustan mis dibujos xurlx,NONE
6797,ahí lo tienes xurlx rt @marolaginer cómo puedo rescatar un artículo por qué no te cogo el teléfono gracias,NONE
6798,buenos días hoy viajo a barcelona ensayo de #elnumerouno menudo programón para mañana,P+
6799,#abril de mis meses preferidos ;-) @soniachaconp inaugurando el mes de abril,P+
6800,los presupuestos son como el paraíso eterno dicen q ahora sufrir para después llegar los defraudadores no transitan siempre están allí,N+
6801,buenos días vuelta a casa gracias mallorca,P+
6802,xnumx de cada xnumx hectáreas quemadas este año en incendios forestales han ardido en galicia volvemos a los años xnumx #sosfragasdoeume,N+
6803,por cierto sacad las velas del fondo del armario hoy entran en vigor la subida de la luz un xnumx% y del gas un xnumx%,N
6804,ya en el parking del aeropuerto esperando para entrar en directo con isabel gemio en onda cero,NONE
6805,muy recomendable frívolidad y horóscopos xurlx vía @el_pais #periodismo,P+
6806,silencio blanco en la amargura #ssantaxnumx xurlx,NONE
6807,ya casi en la camita despues d iun gran cocierto son mio motor y nos vemos el xnumx d abril en la arena cd mexico,P
6808,algunos dijeron q rajoy iba a ser la alegría de la huerta y se equivocaron es un registrador de recortes sufrimiento y amnistías a ricos,N
6809,buenos días a todos ya estamos en abril feliz domingo,P+
6810,gracias por leerlo :) rt @robertotorresl si queremos podemos @albert_rivera via el mundo catalunya toda una exposición de sentido común,P
6811,los sevillanos pendientes dl cielo la primera hermandad de la ss la paz retrasa la salida media hora antes d tomar decisión definitva,N
6812,escuchando los sonidos d la calledelicioso,P+
6813,el tiempo no acompaña a la semana grande de mi tierra sevilla,N
6814,un abrazo para todas las hermandades que se queden sin hacer estacion de penitencia y para sus nazarenos y costaleros,NEU
6815,de esto que te pones una opera te tienes que ir a comer y no puedes quitarla y esta tarde de nuevo muti y la felicidad #operagroupie,P+
6816,lágrimas y favores #cofradiasmlg #malaga @ calle martinez xurlx,NEU
6817,rt @ma_lopezdelpozo el frailazo pactado por psoe-iu en #parla xurlx @sur_madrid @pparla @nnggmadrid @ppasamblea,N+
6818,leire pajín será la número dos de @ximopuig vicesecretaria general del pspv,P
6819,rt @markxnumx_angel @paurubio mm unos chilaquiles y tuaa,P+
6820,@rominabelluscio @edurnity guapísima ahora te vemosque ganitas ;-)guapaa q lo disfruteisa bailar y a cantar oh yeahh,P+
6821,hallan xnumx delfines muertos en las playas de perú en lo que va de año (efe),N+
6822,gracias gracias gracias madrid;)) ha sido increible ;) volveremos en invierno;),P+
6823,decís q es un bug q están intentando arreglar xurlx a otros os fallan también las menciones habrán llegado los pge a twitter,N
6824,tengo una duda estaba ya rubalcaba en el gob de gonzález cuando el psoe amnistió a los golfos de la época,N
6825,el tte de alcalde de #sevillahoy en directo contando en @giraldatv este inicio entre nubes y claros d la #ssantaxnumx,NONE
6826,perdón carlos alvárez no marcelo alvarez cantando don giovanni,NONE
6827,si una errata rt @manuelhi @rubenjuans @cmgorriaran @tonicantoxnumx se les habrá pasado hombre,N
6828,y si los padres de los anarcas tuvieran q pagar los destrozos de sus hijos #otrogallocantaria,N
6829,pilar porqué se dice tonto de capirote y no tonto de capuchón @pilarggranja,N
6830,impresionante acogida d la retransmision de la #ssantaxnumx en @giraldatv nos están viendo dsd xnumx paísesusa runido australia japóngracias,P+
6831,ya os leoo se me había estropeado os echaba de menos,NEU
6832,bueno lo dicho buenas noches os quiero familia,P+
6833,@carmendelriego periodismo de investigación del bueno y unas cuantas decisiones éticas,P+
6834,rt ojalá den con él @quediario buscan al autor del incendio de as fragas do eume que se enfrentaría a cárcel xurlx,N
6835,hasta mañana buenas noches,P
6836,@edurnity @rominabelluscio gracias por todo nos a encantado estuvo genial grease os la recomiendo,P+
6837,la sequía es clave para los incendios pero tb la falta de política forestal la limpieza de los montes y los recortes #sosfragasdoeume,N+
6838,desde hace xnumxmeses gobierno trabaja en modificación cpenal para equiparar violencia de los antisistema con la callejera ligada al terrorismo,NEU
6839,buenos dias amigosdireccion mallorca a dar nuestros ultimos retoques a la sorpresita dale duro,NEU
6840,portada la gaceta xurlx,NONE
6841,bdías si formarais parte de la ejecutiva del pp qué le diríais hoy a rajoy como balance de sus xnumx días,NEU
6842,@carmenlaurait @pedroj_ramirez hoy se cumplen xnumx años de la muerte de juanito un genio #juanitosiemprepresente rt xurlx,NEU
6843,mi primera novela xnumx noches ya se puede encargar en amazon saldrá a la venta este miércoles en papel y ebook xurlx,NONE
6844,la prima de riesgo de españa cae en la apertura a xnumx puntos básicos (efe),N
6845,xnumx muertos en las carreteras durante xnumxª fase de operación especial de tráfico de la semana santa (desde xnumx h vienes a xnumx h del domingo) dgt,N+
6846,rajoy explica hoy al detalle los presupuestos a los emisarios de merkel mudo para sus ciudadanos locuaz para sus jefes,N
6847,nuestra niña @amaiamusic jugando con la cámara xurlx,P+
6848,los invitados esta noche en #elnumerouno son @jason_mraz y @elsueñodemorfeo va a ser genial,P+
6849,mucho branded content en el #miptv pero lo único que ha arrancado aplausos ha sido un impresionante spot xurlx,N
6850,a las xnumx:xnumx estaré en directo con carlos herrera para hablar del programa #elnumerouno,NONE
6851,hoy es el día mundial de la concienciación sobre el autismo mas investigación mas apoyo a integración y mucha fuerza a las falimias,P+
6852,dice @gllamazares que penalizar el vandalismo es acabar con el estado social que pensáis,N
6853,dirigentes regionales del pp defienden las medidas difíciles de rajoy y reiteran que la situación no puede revertirse en el corto plazo,NEU
6854,es el momento d sumar unir y trabajar x salir d la crisis juntos por la catalunya d todos y no de levantar fronteras enfrentar o dividir,P
6855,a partir de las xnumx:xnumxh estoy en programa @protascat en @abcpuntoradio con @oriolclavell,NONE
6856,hace diez años que españa entró en el euro pero @marianorajoy sigue traduciendo las cifras a billones de pesetas es necesario,N
6857,rajoy no cumplimos en xnumx el compromiso del anterior gobierno sobre el déficit público,N+
6858,incumplir los acuerdos y los compromisos te hace perder credibilidad balance psoe,N
6859,noticias descombacantes está disponible xurlx,P
6860,no vuelvo#budapest xurlx,N
6861,explicaciones @marianorajoy hemos tenido que cosas que a nadie le gusta hacer no hay más remedio que no hay alternativa,N
6862,doce años después y para que vamos a cambiar el cartel xurlx,NONE
6863,el magnate de eurovegas adelson aprecia las políticas de esperanza aguirre tal para cual paraíso fiscal e infierno social y laboral,N
6864,pspv renovado ximo puig ya estaba con lerma hace xnumx años y ciprià ciscar es felipismo leire pajín sí pero es la exministra peor valorada,N
6865,el ibex da miedo mucho miedo,N+
6866,muchas gracias rt @sangaruz @sevillajordi me ha gustado su intervención en radio nacional,P+
6867,rt @enriclloveras la venta de coches sigue cayendo y van xnumx meses consecutivos,N+
6868,os deseo que paséis una feliz semana santa,P
6869,comiendo en el mejor japo de málaga ;-) (@ ta-kumi) xurlx,P+
6870,noticias del estado penal en la última semana se ha decidido que los actos de vandalismo y los incendios en galicia serán actos terroristas,N
6871,la prevención social del estado del bienestar y la limpieza y protección de los bosques son caras y nos acordaremos de ellas cuando truene,N
6872,justo ahora que no estoy en españa el amiguete @riverakiko va a poner de moda lo de #quitateeltopespero que dure ya hasta el verano,P
6873,de camino a plató para prepararnos y esta noche en directo @axnumxnumerouno no se lo pierdan,P
6874,pero que grandes sois llega el veranito y llega #quitateeltop vamos a por ese tt,P+
6875,en #castillo d bayuela con pilar y felipe y homenaje #jose fdez pulido con @carolagudo dip c-lm y #dipu provinciales xurlx,P+
6876,el psdeg dice que feijóo ya tiene su prestige yo creo q quien ansia un prestige es el psoe #lollamancarroña a ese tipo oposicion,N
6877,cayo lara e iu critican presupuestos y políticas del ppero les apoyan en extremadura y en varios municipiosserá por los carguitos,NEU
6878,amnistía fiscal donde dije digo digo diego @telediariointer xnumx:xnumx,N
6879,balanzas fiscales convivencia cívica catalana lo pone en duda @telediariointer xnumx:xnumx,NEU
6880,estamos en tendencias arriba #quitateeltop vamos a por ese tt y la semana que viene lo sabreis todos vamos a por ello chicos,P+
6881,este año han muerto xnumx militares #otan por ataques de fuerzas amigas ls talibán los asumen pero isaf dice q son problemas personales,N+
6882,vamos chicoss #quitateeltop,P
6883,atardecer desde mi ventana xurlx,NONE
6884,pasa boca esas comas xurlx,N
6885,una preciosidad de libro chema madoz xurlx,P+
6886,hay una relación directa entre la rebaja de impuestos y la reducción d la economía sumergida es solo una idea,N
6887,:o ;) un besazo rt @cris_salazarb @alejandrosanz voy desde ecuador a madrid para el concierto el xnumx de junio :) cc @tsalazarb,P+
6888,en el viecente calderon rt @juansanjuanxnumx @alejandrosanz @cris_salazarb @tsalazarb concierto en madrid|| donde,NONE
6889,en estos xnumx días de gobierno rajoy ha demostrado tener un gobierno serio que toma decisiones y asume responsabilidades,P+
6890,cerezo en flor xurlx,NONE
6891,son la bomba espectacular clementeclon en @fede_dejuan @losclones me muero de la risa hahahshahshshaha,P+
6892,rt @imelizabethb increíble un complejo hotelero en una d las playas más maravillosas del mundome niego #salvemestrenc xurlx,NEU
6893,rt @quediario dani pedrosa entre los detenidos por una trama de amaño de títulos de patrón de yate xurlx,N+
6894,virgen de la paz noche del lunes santi en jerez xurlx,NONE
6895,noche del lunes santo en el centro de jerez xurlx,NONE
6896,amigos esto marcha vamos a cumplir todos nuestros objetivoslos perros dl camino ladran porqe no soportan nuestro avancepalante vamos bien,P+
6897,me gusta :) rt @espinmarc por qué decidí escribir un blog sobre #periodismo y qué leo para hacerlo xurlx,P+
6898,estamos entre bambalinas xurlx,NONE
6899,;) rt @braayangimenez @alejandrosanz xurlx puedas verlo :d miralo cuando puedas ;),P
6900,buenas noches he salido a acompañar a mi visita y había llovido y me he dado cuenta de que ya no me acordaba cómo huele después de llover,NONE
6901,pues sí se nos ha puesto cara de imbéciles como dice el prof de economía de la columbia @xsalaimartin home page xurlx,N+
6902,ya estoy en el hotel menudo programa que tensión hasta el último momento (suena a hueco como se nota que por aquí no queda nadie),NEU
6903,bueno familia ahora si aun no me he desmaquillado y me caigo de sueño gracias a todos por apoyarnos,P
6904,un abrazo a las hermandades de todas las ciudades que vivan la semana santa con la pasion que le debemos a xurlx,P+
6905,la ciudad duerme pero no apagan la luz xurlx,N
6906,deberían subir la luz aquí como en españa#preparatecuandollegueelrecibo xurlx,N
6907,el gobierno presenta hoy en congreso presupuestos generales q aprobó el viernes supondrán el ahorro de xnumx millones un déficit del xnumx xnumx%,P
6908,@rrodriguezmaeso empanado o rebozado,N
6909,+xnumx rt @adointenta @sevillajordi y que harán los alemanes por que el coche es alemán,NONE
6910,portada la razón xurlx,NONE
6911,el dato de paro en marzo es malo pero no catastrófico se temía peor,N
6912,a alguien le sorprende que abaratar el despido aumente los despidos,N+
6913,hemos comenzado la visita a las iglesias en la candelaria #ssantaxnumx xurlx,NONE
6914,intentando aprender código bidi o qr xurlx xurlx presupuestos,NONE
6915,hermanos marx - la parte contratante xurlx via @youtube,NONE
6916,brasil endurece los criterios de entrada a turistas españoles por reciprocidad xurlx,N
6917,xnumx millón de niños como el tuyo o el mío con riesgo d desnutriciónmorirán o intentamos evitarlo súmate a la campaña de @unicef_es #sahelnow,N
6918,montoro presenta presupuestos en el #congreso un presupuesto extraordinario para una situación extraordinaria,P+
6919,montoro lleva hablando xnumx minutos pero aun no ha empezado a hablar de los #presupuestosxnumx de los recortes y la amnistía fiscal,N+
6920,el número uno confirma su éxito y gana otro ajustado duelo a gran hermano | vertele xurlx vía @vertele,P+
6921,las penas #malagasanta #cofradiasmlg #malaga @ oratorio de las penas xurlx,NONE
6922,aunque también hay que decir que si lo hubiera hecho salgado el pp la habría criticado por subir impuestos cosas de la política,N+
6923,gracias rt @selenusmedia @rodrigoblazquez por si quieres aprender un poco más qr vs bidi xurlx,P
6924,horas d decisión en #ssantaxnumx sesteban xnumx h;los estudiantes xnumx h;los javieres xnumx h y sbenito xnumx hmás info en @giraldatv,NONE
6925,ha muerto antonio mingote gran dibujante gran humoristay mejor persona,N+
6926,guía práctica de la agencia europea de seguridad de las redes y de la información para usuarios de cloud computing xurlx,NONE
6927,desde el mes de octubre trato de saber que partida presupuestaria tiene la junta para el auditorio sin éxito nadie lo ha averiguado,N+
6928,adiós a mingote el dibujante de abc con el que nací y crecí en esta profesión y con el que compartí esta casa la de abc,N
6929,esta noche a @xnumxhoras_rne con iñigo alfonso,NONE
6930,este es el homenaje de la apm a nuestro socio mingote que hoy nos ha dejado xurlx,P
6931,cómo iba vestida cómo explicarlo -me dice luis b- como si llevara el jersey por debajo de la piel,N
6932,@eliasbendodo y pipo en el rescate #malagasanta #cofradiasmlg @ calle agua xurlx xurlx,NONE
6933,cruz guía el rescate #cofradiasmlg #malagasanta @ calle agua xurlx,NONE
6934,los mercados (ibex y prima de riesgo) castigan el presupuesto cuando se pagan casi xnumx millones en intereses no hay margen de maniobra,N+
6935,este nazareno es @fjcristofol ;-)) impone #malagasanta #cofradiasmlg xurlx,P+
6936,otro presupuesto es posible hemos hablado con ghesta y rallo @telediariointer xnumx:xnumx,P
6937,brillante artículo en abc de ignacio camacho sobre mingote un español tan claro xurlx via @abc_es,P+
6938,apoyar a la semana santa de #salamanca de interés turístico internacional es potenciar el turismo dd @aytosalamancaxurlx,P+
6939,lasciate ogni speranza si alguien vomita insultos con su nombre pienso otro analfabestia si es con seudónimo otro pobre tarado,N+
6940,otra semifinal gracias afición por el apoyo xurlx,P+
6941,enhorabuena a policía nacional por desmantelar en madrid xnumx talleres de falsificación de documentos y maquillaje de vehículos de alta gama,P+
6942,#curiosidaddelinsomne bolsa baja prima de riesgo sube algún otro signo de confianza de los mercados en los presupuestos de rajoy,N+
6943,q agusto se queda una cuando dice lo q piensa de alguien en su cara creo q hasta adelgaza ;),P+
6944,no nos engañemos el acuerdo mas urgente que nunca@nytimesfriedman on middle east peace xurlx,N
6945,antes de irme a dormir os dejo con una postalita de toronto xurlx,P
6946,yo tambien me acuerdo ;) rt @atrejom rt @ross_riv @atrejom te acuerdas del concierto gratis de @alejandrosanz xurlx,P
6947,buenos días a todos,P
6948,estos días trataré de hacer deporte con mis amigos y desconectar,P
6949,el ahorro d las familias españolas bajó en xnumx xq perdieron poder adquisitivo (precios subieron +q renta disponible),N+
6950,xnumx toneladas de tapones para salvar la vida de la pequeña aitana xurlx,P+
6951,desde que en julio de xnumx empecé a trabajar en abc hoy es el primer día sin #mingote,N
6952,si un violador está libre el sistema judicial está fallando xurlx,N+
6953,el blogger de periodista digital me pide disculpas por el lamentable episodio de la huelga general y mi foto familiar xurlx,N
6954,primera semana santa de vacaciones en xnumx años a disfrutarla junto mi amor @rominabelluscio y mis grandes amigos @wallylopez @maytitalozano,P+
6955,feliz semana santa para todos los twitteros y en especial para mi amigo @javipp_xnumx,P+
6956,el gobierno anterior en extremadura presupuestó y gastó xnumx mill € en concepto de deuda histórica nosotros presupuestamos xnumx€ y obtenemos xnumx,N
6957,las obras de la nxnumx (valle del jerte) estaban paralizadas ahora cuentan con xnumx€,NEU
6958,atención a los movimientos de fátima bañez para conseguir más apoyos parlamentarios a su reforma laboral xurlx vía @abc_es,N
6959,el gobierno intervendrá andalucía si no cumple el déficit no caben medias tintas,N+
6960,@marianorajoy españa se enfrenta ahora a una situación de extrema dificultad y el que no quiera darse cuenta se equivoca,N
6961,@marianorajoy en xnumx nos vamos a gastar casi xnumx billones d las antiguas pesetas a pagar intereses de la deuda,N+
6962,empezamos rt @dandocana hoy en #dandocaña estarán @albert_rivera ramón pi @criadosusana y miguel barrachina muchos temas que analizar,NONE
6963,@noeliamtnez tras el fallo del supremo el ayto madrid no puede exigir a los ciudadanos que paguen la tasa de vados xurlx,NEU
6964,@marianorajoy ahora las ccaa y los ayuntamientos deben ajustar sus presupuestos como hemos hecho en el estado,NEU
6965,@diegomazonxnumx @marielarubio link,NONE
6966,@babyidols me ha gustado su libro me ha recordado a beigbeder palahniuk o moore y eso son palabras mayores bravo ole,P+
6967,ahora nos toca salir adelante en una situación muy difícil mientras los q no hicieron nada mas que gastar protestan es lo que hay,N+
6968,hala me voy a ponerme a @ivanferreiro en el ipod (pause),P
6969,orden del día del pleno del congreso de xnumx de abril con preguntas xurlx,NONE
6970,ahora q andalucía y cataluña se quejan por los pge habría que refrescar la sentencia del constitucional sb el estatut y su fundamento xnumx,N
6971,hay que ser bestia y mala @libertaddigital a cospedal es para crucificarla y enterrarla en el cementerio nuclear xurlx,N+
6972,definición de planazo albariño y playa del bao (vigo) en #lasbarricas xurlx,P+
6973,lo q mas me preocupa es que los presupuestos parecen obedecer a unas órdenes de los mercados pero no a un rumbo de país me da que no,N
6974,garzón se queja d que le quitan la escolta olvida que ahora ya no es juez es un delincuente condenado por el tribunal supremo,N+
6975,la marina irlandesa detiene a un barco español @defenceforces navy detain spanish vessel for alleged fishing irregularity this pm,N
6976,@diegomazonxnumx tutururú,N
6977,exaltación el trono de @juanma_moreno para ti juanma que se que te estas acordando cc @manuelavillena xurlx,P
6978,el gobierno incrementa las transferencias a las ccaa pero cataluña sigue derrochando dinero público @telediariointer xnumx:xnumx,N
6979,en mi página les cuento todo sobre mi lesión y más sobre mi recuperación xurlx,NEU
6980,descubren en grecia una isla de ciegos con mucho fraude como españa @telediariointer xnumx:xnumx,N+
6981,descartes no daba su dirección se cambiaba de casa salía a deshoras despistaba escribiendo con remites falsos para poder pensar decía,P
6982,otra dulce puñalada bienvenida rocío @tiatoty @pedroj_ramirez me acabo de abonarvamos a ver como va,NEU
6983,@nachetesan @carlosdavidgf un honor que nos represente @apedraza_avt y en compañía de @miguelfolguera hoy en elorrio,P+
6984,curiosidades del cis la reforma laboral apenas es mencionada como uno de los problemas de españa (xnumx xnumx%) el desempleo abruma (xnumx%),N+
6985,argentina podría utilizar los fondos de jubilados para comprar ypf cotización de repsol ya descuenta la nacionalización,N+
6986,#ssantaxnumx de #sevillahoy maria dolores de cospedal en directo nos visita en el set de @giraldatv xurlx,NONE
6987,la situación es complicada pero el gobierno sabe lo que tiene que hacer para que españa vuelva a crecer y crear empleo xurlx,P
6988,xurlx,NONE
6989,consolación y lagrimas es preciosa #malagasanta #cofradiasmlg #malaga xurlx,P+
6990,buenas noches barrio tuiter os dejo el retrato q me ha hecho mi hija quizá no sea la única q me ve con esa cara :) xurlx,P
6991,contra las minas antipersona xurlx,P
6992,tu huella es mi paz y tu horizonte es mi temor pero tu huella es mi paz,P
6993,rt @cotioficial @paurubio hola hello cotonette,NONE
6994,que buenos están los cookies de esta franquicia canadiense con su granizadito de café #teniaquedecirlo xurlx,P+
6995,buenos días,NONE
6996,ya esta aquí la legión #cofradiasmlg xurlx,NONE
6997,@amartinbeaumont crees q puede aplicarse in modelo de gobierno tecnocrata en españa existe ese riesgo,N
6998,@eliasbendodo y antonio banderas #malagasanta #cofradiasmlg #malaga @ muelle uno xurlx,NONE
6999,aquí estamos disparados como la prima de riesgo #aymadre en un ratito vamos para el plató de las mañanas de cuatro,P
7000,el día de la marmota xurlx o cómo a veces los periodistas contamos las mismas cosas año tras año,N
7001,@laorejadevgogh próximo libro en la cola que la muerte te acompañe sólo oímos hablar bien de tu novela gente con buen gusto oyes,N
7002,sobre lo que pudo llegar a ser #bagdad y nunca fue sueños arquitectónicos para la ciudad xurlx via @wsj #iraq #irak,P
7003,y ahora un secreto me voy a bilbao a ver cómo el @athleticclub gana contra el shalke xnumx,P
7004,y uno de esos críticos peperos de @julia_otero habla al parecer de meter el enemigo en casa tve es su casa qué espanto,N+
7005,el @psoe asturiano valora de forma muy positiva su reunión con @upyd asturias xurlx,P+
7006,firmando en el libro de honor del gran poder #ssantaxnumx xurlx,P+
7007,iba a decir algo del dominio público marítimo-terrestre pero no sería justa lo dejaré para otra ocasión,NONE
7008,diego torres dice que la infanta cristina sí estaba implicada en el instituto noos,N+
7009,santa cruz #malagasanta #cofradiasmlg @ alameda principal xurlx,NONE
7010,@rafam_simancas jaja,NONE
7011,profesor ricardo haussman harvad kennedy schoolmas optimista sobre espanahay que exporta exportar exportar,P
7012,anonymous ataca xnumx webs privadas y gubernamentales chinas - xurlx,N+
7013,eelecciones en venezuela en octubreestrecho margen de chavez sobre caprilequedan varios meses inciertos,NEU
7014,de guindos en tdxnumxno sé si lo que ha dicho generará mucha confianzasi lo que necesitamos es crecer estos presupuestos no lo permiten,N+
7015,esas tardes en las que todo de confabula para ir bien y @acabezaxnumx te da una noticia que te hace sonreír mola,P+
7016,el athletic está despistado,N
7017,noche pasada por agua en sevilla adiós a la madrugá y no ha caído una gota en todo el invierno #semanasanta #sevilla,N+
7018,va a comenzar quo vadis película solo apta para espectadores de fondo el resto si aguantan las dos primeras horas ya es una marca notable,NEU
7019,nivelazo de sarko poniendo a españa y grecia en el mismo saco,P+
7020,feliz madrugà rt @anichi_ @alejandrosanz desde el barrio macareno llegó el momento de repartir esperanza feliz madrugá maestro,P+
7021,benedetti poeta obligado también para las bodas civiles,P+
7022,ijueves en harvardxnumx charlas y un buen número de entrevistas interesantísimas nye rodrick haussmanel mundo sus problemasdefensa de españa,P+
7023,césar lumbreras viviendo esta intensa madrugá de #ssantaxnumx en #sevillahoydirecto en @giraldatv xurlx,P+
7024,por qué hace siempre mal tiempo en semana santa según josep pla xurlx,N
7025,a mordiscos si hace falta pero no debería bajar de xnumx€ @mordiscodemujer @pedroj_ramirez qué bien vendes #orbyt xnumx€,P
7026,#holadictadura y q es para vosotros la democracia q se imponga vuestra voluntad xq no os presentáis a unas elecciones democráticasaa,N
